,Year,Region,Technology,Carrier,Value
0,2019,reg1,Coal_supply,Coal,1065404553.081763
1,2020,reg1,Coal_supply,Coal,1065404553.081763
2,2021,reg1,Coal_supply,Coal,1065404553.081763
3,2022,reg1,Coal_supply,Coal,1065404553.081763
4,2023,reg1,Coal_supply,Coal,1065404553.081763
5,2024,reg1,Coal_supply,Coal,1065404553.081763
6,2025,reg1,Coal_supply,Coal,1065404553.081763
7,2026,reg1,Coal_supply,Coal,1065404553.081763
8,2027,reg1,Coal_supply,Coal,1065404553.081763
9,2028,reg1,Coal_supply,Coal,659535801.5243765
10,2029,reg1,Coal_supply,Coal,172098863.97700003
11,2030,reg1,Coal_supply,Coal,0.0
12,2019,reg1,Diesel_supply,Diesel,1460475.2602774785
13,2020,reg1,Diesel_supply,Diesel,1460475.2602774785
14,2021,reg1,Diesel_supply,Diesel,1460475.2602774785
15,2022,reg1,Diesel_supply,Diesel,1460475.2602774785
16,2023,reg1,Diesel_supply,Diesel,1460475.2602774785
17,2024,reg1,Diesel_supply,Diesel,1460475.2602774785
18,2025,reg1,Diesel_supply,Diesel,1460475.2602774785
19,2026,reg1,Diesel_supply,Diesel,1460475.2602774785
20,2027,reg1,Diesel_supply,Diesel,1460475.2602774785
21,2028,reg1,Diesel_supply,Diesel,1460475.2602774785
22,2029,reg1,Diesel_supply,Diesel,1460475.2602774785
23,2030,reg1,Diesel_supply,Diesel,720829.1226673207
24,2019,reg1,Oil_supply,Oil,1451264.3705117435
25,2020,reg1,Oil_supply,Oil,1451264.3705117435
26,2021,reg1,Oil_supply,Oil,1451264.3705117435
27,2022,reg1,Oil_supply,Oil,1451264.3705117435
28,2023,reg1,Oil_supply,Oil,1451264.3705117435
29,2024,reg1,Oil_supply,Oil,1451264.3705117435
30,2025,reg1,Oil_supply,Oil,1451264.3705117435
31,2026,reg1,Oil_supply,Oil,1451264.3705117435
32,2027,reg1,Oil_supply,Oil,1451264.3705117435
33,2028,reg1,Oil_supply,Oil,1451264.3705117435
34,2029,reg1,Oil_supply,Oil,1451264.3705117435
35,2030,reg1,Oil_supply,Oil,0.0
36,2019,reg1,Biofuel_supply,Biofuel,9733325.546672897
37,2020,reg1,Biofuel_supply,Biofuel,9733325.546672897
38,2021,reg1,Biofuel_supply,Biofuel,9733325.546672897
39,2022,reg1,Biofuel_supply,Biofuel,9733325.546672897
40,2023,reg1,Biofuel_supply,Biofuel,9733325.546672897
41,2024,reg1,Biofuel_supply,Biofuel,9733325.546672897
42,2025,reg1,Biofuel_supply,Biofuel,9733325.546672897
43,2026,reg1,Biofuel_supply,Biofuel,9733325.546672897
44,2027,reg1,Biofuel_supply,Biofuel,9733325.546672897
45,2028,reg1,Biofuel_supply,Biofuel,0.0
46,2029,reg1,Biofuel_supply,Biofuel,0.0
47,2030,reg1,Biofuel_supply,Biofuel,0.0
48,2019,reg1,Hydro_PP_1,Electricity,614326465.5695999
49,2020,reg1,Hydro_PP_1,Electricity,614326465.5695999
50,2021,reg1,Hydro_PP_1,Electricity,614326465.5695999
51,2022,reg1,Hydro_PP_1,Electricity,614326465.5695999
52,2023,reg1,Hydro_PP_1,Electricity,614326465.5695999
53,2024,reg1,Hydro_PP_1,Electricity,614326465.5695999
54,2025,reg1,Hydro_PP_1,Electricity,614326465.5695999
55,2026,reg1,Hydro_PP_1,Electricity,614326465.5695999
56,2027,reg1,Hydro_PP_1,Electricity,614326465.5695999
57,2028,reg1,Hydro_PP_1,Electricity,614326465.5695999
58,2029,reg1,Hydro_PP_1,Electricity,614326465.5695999
59,2030,reg1,Hydro_PP_1,Electricity,614326465.5695999
60,2019,reg1,Hydro_PP_2,Electricity,63071321.975999996
61,2020,reg1,Hydro_PP_2,Electricity,63071321.975999996
62,2021,reg1,Hydro_PP_2,Electricity,63071321.975999996
63,2022,reg1,Hydro_PP_2,Electricity,63071321.975999996
64,2023,reg1,Hydro_PP_2,Electricity,63071321.975999996
65,2024,reg1,Hydro_PP_2,Electricity,63071321.975999996
66,2025,reg1,Hydro_PP_2,Electricity,63071321.975999996
67,2026,reg1,Hydro_PP_2,Electricity,63071321.975999996
68,2027,reg1,Hydro_PP_2,Electricity,63071321.975999996
69,2028,reg1,Hydro_PP_2,Electricity,63071321.975999996
70,2029,reg1,Hydro_PP_2,Electricity,63071321.975999996
71,2030,reg1,Hydro_PP_2,Electricity,63071321.975999996
72,2019,reg1,Hydro_PP_3,Electricity,246410486.83007997
73,2020,reg1,Hydro_PP_3,Electricity,246410486.83007997
74,2021,reg1,Hydro_PP_3,Electricity,246410486.83007997
75,2022,reg1,Hydro_PP_3,Electricity,246410486.83007997
76,2023,reg1,Hydro_PP_3,Electricity,246410486.83007997
77,2024,reg1,Hydro_PP_3,Electricity,246410486.83007997
78,2025,reg1,Hydro_PP_3,Electricity,246410486.83007997
79,2026,reg1,Hydro_PP_3,Electricity,246410486.83007997
80,2027,reg1,Hydro_PP_3,Electricity,246410486.83007997
81,2028,reg1,Hydro_PP_3,Electricity,246410486.83007997
82,2029,reg1,Hydro_PP_3,Electricity,246410486.83007997
83,2030,reg1,Hydro_PP_3,Electricity,246410486.83007997
84,2019,reg1,Hydro_PP_5,Electricity,3566561149.5624
85,2020,reg1,Hydro_PP_5,Electricity,3566561149.5624
86,2021,reg1,Hydro_PP_5,Electricity,3566561149.5624
87,2022,reg1,Hydro_PP_5,Electricity,3566561149.5624
88,2023,reg1,Hydro_PP_5,Electricity,3566561149.5624
89,2024,reg1,Hydro_PP_5,Electricity,3566561149.5624
90,2025,reg1,Hydro_PP_5,Electricity,3566561149.5624
91,2026,reg1,Hydro_PP_5,Electricity,3566561149.5624
92,2027,reg1,Hydro_PP_5,Electricity,3566561149.5624
93,2028,reg1,Hydro_PP_5,Electricity,3566561149.5624
94,2029,reg1,Hydro_PP_5,Electricity,3566561149.5624
95,2030,reg1,Hydro_PP_5,Electricity,3566561149.5624
96,2019,reg1,Hydro_PP_6,Electricity,1671854411.0016003
97,2020,reg1,Hydro_PP_6,Electricity,1671854411.0016003
98,2021,reg1,Hydro_PP_6,Electricity,1671854411.0016003
99,2022,reg1,Hydro_PP_6,Electricity,1671854411.0016003
100,2023,reg1,Hydro_PP_6,Electricity,1671854411.0016003
101,2024,reg1,Hydro_PP_6,Electricity,1671854411.0016003
102,2025,reg1,Hydro_PP_6,Electricity,1671854411.0016003
103,2026,reg1,Hydro_PP_6,Electricity,1671854411.0016003
104,2027,reg1,Hydro_PP_6,Electricity,1671854411.0016003
105,2028,reg1,Hydro_PP_6,Electricity,1671854411.0016003
106,2029,reg1,Hydro_PP_6,Electricity,1671854411.0016003
107,2030,reg1,Hydro_PP_6,Electricity,1671854411.0016003
108,2019,reg1,Hydro_PP_7,Electricity,41003058.161520004
109,2020,reg1,Hydro_PP_7,Electricity,41003058.161520004
110,2021,reg1,Hydro_PP_7,Electricity,41003058.161520004
111,2022,reg1,Hydro_PP_7,Electricity,41003058.161520004
112,2023,reg1,Hydro_PP_7,Electricity,41003058.161520004
113,2024,reg1,Hydro_PP_7,Electricity,41003058.161520004
114,2025,reg1,Hydro_PP_7,Electricity,41003058.161520004
115,2026,reg1,Hydro_PP_7,Electricity,41003058.161520004
116,2027,reg1,Hydro_PP_7,Electricity,41003058.161520004
117,2028,reg1,Hydro_PP_7,Electricity,41003058.161520004
118,2029,reg1,Hydro_PP_7,Electricity,41003058.161520004
119,2030,reg1,Hydro_PP_7,Electricity,41003058.161520004
120,2019,reg1,Hydro_PP_9,Electricity,69095900.52252
121,2020,reg1,Hydro_PP_9,Electricity,69095900.52252
122,2021,reg1,Hydro_PP_9,Electricity,69095900.52252
123,2022,reg1,Hydro_PP_9,Electricity,69095900.52252
124,2023,reg1,Hydro_PP_9,Electricity,69095900.52252
125,2024,reg1,Hydro_PP_9,Electricity,69095900.52252
